NAME                                              STATUS    ISIN CODE           CODE      TRADING COUNTER NAME
21VIANETGPUS$200M7%N200817                                  XS1640517907        7I4B      21Vianet n7%200817S
FM CAS S2017C04 C2X2 N291125                                US30711XNK62        73FB      FMS17C04C2X2 n291125S
FM CAS S2017C04 C2X3 N291125                                US30711XNL46        73GB      FMS17C04C2X3 n291125S
FM CAS S2017C04 C2X4 N291125                                US30711XNM29        73HB      FMS17C04C2X4 n291125S
FM CAS S2017C04 C2Y1 N291125                                US30711XNN02        73IB      FMS17C04C2Y1 n291125S
FM CAS S2017C04 C2Y2 N291125                                US30711XNP59        73JB      FMS17C04C2Y2 n291125S
FM CAS S2017C04 C2Y3 N291125                                US30711XNQ33        73KB      FMS17C04C2Y3 n291125S
FM CAS S2017C04 C2Y4 N291125                                US30711XNR16        73LB      FMS17C04C2Y4 n291125S
FM CAS S2017C05 C1AI1 N300125                               US30711XNY66        7A2B      FMS17C05C1AI1 n300125S
FM CAS S2017C05 C1AI2 N300125                               US30711XPA62        7A4B      FMS17C05C1AI2 n300125S
FM CAS S2017C05 C1AI3 N300125                               US30711XPC29        7A6B      FMS17C05C1AI3 n300125S
FM CAS S2017C05 C1AI4 N300125                               US30711XPE84        7A8B      FMS17C05C1AI4 n300125S
FM CAS S2017C05 C1B1 F300125                                US30711XNW01        7E3B      FMS17C05C1B1 f300125S
FM CAS S2017C05 C1BI1 N300125                               US30711XPG33        7B0B      FMS17C05C1BI1 n300125S
FM CAS S2017C05 C1BI2 N300125                               US30711XPJ71        7B2B      FMS17C05C1BI2 n300125S
FM CAS S2017C05 C1BI3 N300125                               US30711XPL28        7B4B      FMS17C05C1BI3 n300125S
FM CAS S2017C05 C1BI4 N300125                               US30711XPN83        7B6B      FMS17C05C1BI4 n300125S
FM CAS S2017C05 C1CI1 N300125                               US30711XPQ15        7B8B      FMS17C05C1CI1 n300125S
FM CAS S2017C05 C1CI2 N300125                               US30711XPS70        7C0B      FMS17C05C1CI2 n300125S
FM CAS S2017C05 C1CI3 N300125                               US30711XPU27        7C2B      FMS17C05C1CI3 n300125S
FM CAS S2017C05 C1CI4 N300125                               US30711XPW82        7C4B      FMS17C05C1CI4 n300125S
FM CAS S2017C05 C1EA1 F300125                               US30711XNZ32        7A1B      FMS17C05C1EA1 f300125S
FM CAS S2017C05 C1EA2 F300125                               US30711XPB46        7A3B      FMS17C05C1EA2 f300125S
FM CAS S2017C05 C1EA3 F300125                               US30711XPD02        7A5B      FMS17C05C1EA3 f300125S
FM CAS S2017C05 C1EA4 F300125                               US30711XPF59        7A7B      FMS17C05C1EA4 f300125S
FM CAS S2017C05 C1EB1 F300125                               US30711XPH16        7A9B      FMS17C05C1EB1 f300125S
FM CAS S2017C05 C1EB2 F300125                               US30711XPK45        7B1B      FMS17C05C1EB2 f300125S
FM CAS S2017C05 C1EB3 F300125                               US30711XPM01        7B3B      FMS17C05C1EB3 f300125S
FM CAS S2017C05 C1EB4 F300125                               US30711XPP32        7B5B      FMS17C05C1EB4 f300125S
FM CAS S2017C05 C1EC1 F300125                               US30711XPR97        7B7B      FMS17C05C1EC1 f300125S
FM CAS S2017C05 C1EC2 F300125                               US30711XPT53        7B9B      FMS17C05C1EC2 f300125S
FM CAS S2017C05 C1EC3 F300125                               US30711XPV00        7C1B      FMS17C05C1EC3 f300125S
FM CAS S2017C05 C1EC4 F300125                               US30711XPX65        7C3B      FMS17C05C1EC4 f300125S
FM CAS S2017C05 C1ED1 F300125                               US30711XPY49        7C5B      FMS17C05C1ED1 f300125S
FM CAS S2017C05 C1ED2 F300125                               US30711XPZ14        7C6B      FMS17C05C1ED2 f300125S
FM CAS S2017C05 C1ED3 F300125                               US30711XQA53        7C7B      FMS17C05C1ED3 f300125S
FM CAS S2017C05 C1ED4 F300125                               US30711XQB37        7C8B      FMS17C05C1ED4 f300125S
FM CAS S2017C05 C1ED5 F300125                               US30711XQC10        7C9B      FMS17C05C1ED5 f300125S
FM CAS S2017C05 C1EF1 F300125                               US30711XQD92        7D0B      FMS17C05C1EF1 f300125S
FM CAS S2017C05 C1EF2 F300125                               US30711XQE75        7D1B      FMS17C05C1EF2 f300125S
FM CAS S2017C05 C1EF3 F300125                               US30711XQF41        7D2B      FMS17C05C1EF3 f300125S
FM CAS S2017C05 C1EF4 F300125                               US30711XQG24        7D3B      FMS17C05C1EF4 f300125S
FM CAS S2017C05 C1EF5 F300125                               US30711XQH07        7D4B      FMS17C05C1EF5 f300125S
FM CAS S2017C05 C1M1 F300125                                US30711XNS98        79WB      FMS17C05C1M1 f300125S
FM CAS S2017C05 C1M2 F300125                                US30711XNX83        79XB      FMS17C05C1M2 f300125S
FM CAS S2017C05 C1M2A F300125                               US30711XNT71        79YB      FMS17C05C1M2A f300125S
FM CAS S2017C05 C1M2B F300125                               US30711XNU45        79ZB      FMS17C05C1M2B f300125S
FM CAS S2017C05 C1M2C F300125                               US30711XNV28        7A0B      FMS17C05C1M2C f300125S
FM CAS S2017C05 C1X1 N300125                                US30711XQJ62        7D5B      FMS17C05C1X1 n300125S
FM CAS S2017C05 C1X2 N300125                                US30711XQK36        7D6B      FMS17C05C1X2 n300125S
FM CAS S2017C05 C1X3 N300125                                US30711XQL19        7D7B      FMS17C05C1X3 n300125S
FM CAS S2017C05 C1X4 N300125                                US30711XQM91        7D8B      FMS17C05C1X4 n300125S
FM CAS S2017C05 C1Y1 N300125                                US30711XQN74        7D9B      FMS17C05C1Y1 n300125S
FM CAS S2017C05 C1Y2 N300125                                US30711XQP23        7E0B      FMS17C05C1Y2 n300125S
FM CAS S2017C05 C1Y3 N300125                                US30711XQQ06        7E1B      FMS17C05C1Y3 n300125S
FM CAS S2017C05 C1Y4 N300125                                US30711XQR88        7E2B      FMS17C05C1Y4 n300125S
FM CAS S2017C06 C1AI1 N300225                               US30711XQZ05        7L2B      FMS17C06C1AI1 n300225S
FM CAS S2017C06 C1AI2 N300225                               US30711XRB28        7L4B      FMS17C06C1AI2 n300225S
FM CAS S2017C06 C1AI3 N300225                               US30711XRD83        7L6B      FMS17C06C1AI3 n300225S
FM CAS S2017C06 C1AI4 N300225                               US30711XRF32        7L8B      FMS17C06C1AI4 n300225S
FM CAS S2017C06 C1B1 F300225                                US30711XQW73        7P3B      FMS17C06C1B1 f300225S
FM CAS S2017C06 C1BI1 N300225                               US30711XRH97        7M0B      FMS17C06C1BI1 n300225S
FM CAS S2017C06 C1BI2 N300225                               US30711XRK27        7M2B      FMS17C06C1BI2 n300225S
FM CAS S2017C06 C1BI3 N300225                               US30711XRM82        7M4B      FMS17C06C1BI3 n300225S
FM CAS S2017C06 C1BI4 N300225                               US30711XRP14        7M6B      FMS17C06C1BI4 n300225S
FM CAS S2017C06 C1CI1 N300225                               US30711XRR79        7M8B      FMS17C06C1CI1 n300225S
FM CAS S2017C06 C1CI2 N300225                               US30711XRT36        7N0B      FMS17C06C1CI2 n300225S
FM CAS S2017C06 C1CI3 N300225                               US30711XRV81        7N2B      FMS17C06C1CI3 n300225S
FM CAS S2017C06 C1CI4 N300225                               US30711XRX48        7N4B      FMS17C06C1CI4 n300225S
FM CAS S2017C06 C1EA1 F300225                               US30711XQY30        7L1B      FMS17C06C1EA1 f300225S
FM CAS S2017C06 C1EA2 F300225                               US30711XRA45        7L3B      FMS17C06C1EA2 f300225S
FM CAS S2017C06 C1EA3 F300225                               US30711XRC01        7L5B      FMS17C06C1EA3 f300225S
FM CAS S2017C06 C1EA4 F300225                               US30711XRE66        7L7B      FMS17C06C1EA4 f300225S
FM CAS S2017C06 C1EB1 F300225                               US30711XRG15        7L9B      FMS17C06C1EB1 f300225S
FM CAS S2017C06 C1EB2 F300225                               US30711XRJ53        7M1B      FMS17C06C1EB2 f300225S
FM CAS S2017C06 C1EB3 F300225                               US30711XRL00        7M3B      FMS17C06C1EB3 f300225S
FM CAS S2017C06 C1EB4 F300225                               US30711XRN65        7M5B      FMS17C06C1EB4 f300225S
FM CAS S2017C06 C1EC1 F300225                               US30711XRQ96        7M7B      FMS17C06C1EC1 f300225S
FM CAS S2017C06 C1EC2 F300225                               US30711XRS52        7M9B      FMS17C06C1EC2 f300225S
FM CAS S2017C06 C1EC3 F300225                               US30711XRU09        7N1B      FMS17C06C1EC3 f300225S
FM CAS S2017C06 C1EC4 F300225                               US30711XRW64        7N3B      FMS17C06C1EC4 f300225S
FM CAS S2017C06 C1ED1 F300225                               US30711XRY21        7N5B      FMS17C06C1ED1 f300225S
FM CAS S2017C06 C1ED2 F300225                               US30711XRZ95        7N6B      FMS17C06C1ED2 f300225S
FM CAS S2017C06 C1ED3 F300225                               US30711XSA36        7N7B      FMS17C06C1ED3 f300225S
FM CAS S2017C06 C1ED4 F300225                               US30711XSB19        7N8B      FMS17C06C1ED4 f300225S
FM CAS S2017C06 C1ED5 F300225                               US30711XSC91        7N9B      FMS17C06C1ED5 f300225S
FM CAS S2017C06 C1EF1 F300225                               US30711XSD74        7O0B      FMS17C06C1EF1 f300225S
FM CAS S2017C06 C1EF2 F300225                               US30711XSE57        7O1B      FMS17C06C1EF2 f300225S
FM CAS S2017C06 C1EF3 F300225                               US30711XSF23        7O2B      FMS17C06C1EF3 f300225S
FM CAS S2017C06 C1EF4 F300225                               US30711XSG06        7O3B      FMS17C06C1EF4 f300225S
FM CAS S2017C06 C1EF5 F300225                               US30711XSH88        7O4B      FMS17C06C1EF5 f300225S
FM CAS S2017C06 C1M1 F300225                                US30711XQS61        7K6B      FMS17C06C1M1 f300225S
FM CAS S2017C06 C1M2 F300225                                US30711XQX56        7K7B      FMS17C06C1M2 f300225S
FM CAS S2017C06 C1M2A F300225                               US30711XQT45        7K8B      FMS17C06C1M2A f300225S
FM CAS S2017C06 C1M2B F300225                               US30711XQU18        7K9B      FMS17C06C1M2B f300225S
FM CAS S2017C06 C1M2C F300225                               US30711XQV90        7L0B      FMS17C06C1M2C f300225S
FM CAS S2017C06 C1X1 N300225                                US30711XSJ45        7O5B      FMS17C06C1X1 n300225S
FM CAS S2017C06 C1X2 N300225                                US30711XSK18        7O6B      FMS17C06C1X2 n300225S
FM CAS S2017C06 C1X3 N300225                                US30711XSL90        7O7B      FMS17C06C1X3 n300225S
FM CAS S2017C06 C1X4 N300225                                US30711XSM73        7O8B      FMS17C06C1X4 n300225S
FM CAS S2017C06 C1Y1 N300225                                US30711XSN56        7O9B      FMS17C06C1Y1 n300225S
FM CAS S2017C06 C1Y2 N300225                                US30711XSP05        7P0B      FMS17C06C1Y2 n300225S
FM CAS S2017C06 C1Y3 N300225                                US30711XSQ87        7P1B      FMS17C06C1Y3 n300225S
FM CAS S2017C06 C1Y4 N300225                                US30711XSR60        7P2B      FMS17C06C1Y4 n300225S
FM CAS S2017C06 C2AI1 N300225                               US30711XSZ86        7Q0B      FMS17C06C2AI1 n300225S
FM CAS S2017C06 C2AI2 N300225                               US30711XTB00        7Q2B      FMS17C06C2AI2 n300225S
FM CAS S2017C06 C2AI3 N300225                               US30711XTD65        7Q4B      FMS17C06C2AI3 n300225S
FM CAS S2017C06 C2AI4 N300225                               US30711XTF14        7Q6B      FMS17C06C2AI4 n300225S
FM CAS S2017C06 C2B1 F300225                                US30711XSW55        7U1B      FMS17C06C2B1 f300225S
FM CAS S2017C06 C2BI1 N300225                               US30711XTH79        7Q8B      FMS17C06C2BI1 n300225S
FM CAS S2017C06 C2BI2 N300225                               US30711XTK09        7R0B      FMS17C06C2BI2 n300225S
FM CAS S2017C06 C2BI3 N300225                               US30711XTM64        7R2B      FMS17C06C2BI3 n300225S
FM CAS S2017C06 C2BI4 N300225                               US30711XTP95        7R4B      FMS17C06C2BI4 n300225S
FM CAS S2017C06 C2CI1 N300225                               US30711XTR51        7R6B      FMS17C06C2CI1 n300225S
FM CAS S2017C06 C2CI2 N300225                               US30711XTT18        7R8B      FMS17C06C2CI2 n300225S
FM CAS S2017C06 C2CI3 N300225                               US30711XTV63        7S0B      FMS17C06C2CI3 n300225S
FM CAS S2017C06 C2CI4 N300225                               US30711XTX20        7S2B      FMS17C06C2CI4 n300225S
FM CAS S2017C06 C2EA1 F300225                               US30711XSY12        7P9B      FMS17C06C2EA1 f300225S
FM CAS S2017C06 C2EA2 F300225                               US30711XTA27        7Q1B      FMS17C06C2EA2 f300225S
FM CAS S2017C06 C2EA3 F300225                               US30711XTC82        7Q3B      FMS17C06C2EA3 f300225S
FM CAS S2017C06 C2EA4 F300225                               US30711XTE49        7Q5B      FMS17C06C2EA4 f300225S
FM CAS S2017C06 C2EB1 F300225                               US30711XTG96        7Q7B      FMS17C06C2EB1 f300225S
